longitude,latitude,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSFLO,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,ADDRESSUNI,DESCRIPTIO,HYPERLINK,LANDXADDRE,LANDYADDRE,NAME,PHOTOURL,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.81416281771773,1.324042732474392,1,2,,,289876,Adam Road,I,,,,25868.40000000000,34041.56000000000,Adam Food Centre,,CBDA4D5E53E941EC,2014/01/29,25868.15580000000,34031.44340000000
103.85406644911116,1.301056276349145,2,270,,,180270,Queen Street,I,,,,30325.21000000000,31483.66000000000,Albert Centre Market & Food Centre,,4D40085253380434,2014/01/29,30309.05090000000,31489.72050000000
103.80448933887892,1.286297814723685,3,120,,,150120,Bukit Merah Lane 1,I,,,,24791.54000000000,29857.81000000000,Alexandra Village Food Centre,,8A15D46EB030FD3E,2014/01/29,24791.54670000000,29857.81470000000
103.84660686945318,1.279218486043109,4,,National Development Building,,69111,Telok Ayer Street,I,,,,29478.87000000000,29075.00000000000,Amoy Street Food Centre,,0FAA6213BDADAAC0,2014/01/29,29478.87940000000,29075.00470000000
103.95547187096196,1.320354092327791,5,1,,,469572,Bedok Road,I,,,,41594.72000000000,33624.11000000000,Bedok Food Centre,,C2A3B1F8B5780FE4,2014/01/29,41594.46630000000,33623.89810000000
103.82735802977679,1.288822132801776,6,38A,,,169982,Beo Crescent,I,,,,27336.64000000000,30136.92000000000,Beo Crescent Market,,B5379321AE38D188,2014/01/29,27336.64140000000,30136.92330000000
103.85685398728346,1.307336540933779,7,166,,,208877,Jalan Besar,I,,,,30619.27000000000,32184.16000000000,Berseh Food Centre,,FDEDDDE758FD2D0B,2014/01/29,30619.27230000000,32184.16260000000
103.83994027834707,1.288252097387522,8,1,,,161001,Jalan Kukoh,I,,,,28737.57000000000,30071.51000000000,Blk 1 Jalan Kukoh,,DE0E8BC0F6D2E13F,2014/01/29,28736.93910000000,30073.89200000000
103.89008110628883,1.353837454316497,9,105,,,530105,Hougang Ave 1,I,,,,34317.02000000000,37326.05000000000,Blk 105 Hougang Ave 1,,A5611794D26A0EEC,2014/01/29,34317.02460000000,37326.05700000000
103.8186417085841,1.277366902314556,10,11,,,90011,Telok Blangah Crescent,I,,,,26366.58000000000,28870.26000000000,Blk 11 Telok Blangah Crescent,,10E617AF09780FE4,2014/01/29,26366.58150000000,28870.26710000000
103.82601329020807,1.280004830077471,11,112,,,160112,Jalan Bukit Merah,I,,,,27186.98000000000,29161.95000000000,Blk 112 Jalan Bukit Merah,,09D6D700095E97D9,2014/01/29,27186.98040000000,29161.95190000000
103.82204104103751,1.284430327981976,12,115,,,151115,Bukit Merah View,I,,,,26745.83000000000,29770.11000000000,Blk 115 Bukit Merah View,,DEC4E6BE374D1CA2,2014/01/29,26744.90350000000,29651.30230000000
103.88677353286531,1.320781083669411,13,117,,,380117,Aljunied Ave 2,I,,,,33976.33000000000,33656.16000000000,Blk 117 Aljunied Ave 2,,A43511E0B9FC6A79,2014/01/29,33949.00870000000,33670.84280000000
103.84473169294698,1.33809276419377,14,127,,,310127,Lorong 1 Toa Payoh,I,,,,29270.15000000000,35585.01000000000,Blk 127 Toa Payoh Lorong 1,,29B379BD103FDB33,2014/01/29,29270.15790000000,35585.01860000000
103.94462455034122,1.345639547246673,15,137,,,521137,Tampines Street 11,I,,,,40387.13000000000,36419.78000000000,Blk 137 Tampines Street 11,,2C8671E996A8F191,2014/01/29,40387.13760000000,36419.78290000000
103.80290394244821,1.293236247134818,16,159,,,140159,Mei Chin Road,I,,,,24615.11000000000,30625.03000000000,Blk 159 Mei Chin Road,,CB16D1C975BECF7E,2014/01/29,24615.11460000000,30625.03290000000
103.9354777655126,1.320502109034878,17,16,,,460016,Bedok South Road,I,,,,39376.14000000000,33645.70000000000,Blk 16 Bedok South Road,,D5D04FB4541E0C0F,2014/01/29,39369.31470000000,33640.16470000000
103.81699240646805,1.283692638117956,18,163,,,150163,Bukit Merah Central,I,,,,26183.03000000000,29569.73000000000,Blk 163 Bukit Merah Central,,9F49A522A06A8C5F,2014/01/29,26183.03180000000,29569.73540000000
