longitude,latitude,OBJECTID,HOUSE_NUMB,HYPERLINK,BUILDING_N,LEVEL_NO,STREETNAME,POSTALCODE,DESCRIPTIO,NAME_OF_SC,UNIT_NO,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
103.85041857966186,1.293149492302731,1,47,http://www.scciob.edu.sg,SINGAPORE CHINESE CHAMBER OF COMMERCE & INDUSTRY B,08,HILL STREET,179365,Private Education Institutions,SINGAPORE CHINESE CHAMBER INSTITUTE OF BUSINESS,01,D2756FF61AC75B40,2014/01/27,29903.08170000000,30615.42610000000
103.85008360710103,1.291307085459822,2,109,http://www.seimpi-music.com.sg/site/seimpi-academy1,FUNAN DIGITALIFE MALL,05,NORTH BRIDGE ROAD,179097,Private Education Institutions,SEIMPI ACADEMY,37,D1733987E6D2080E,2014/01/27,29865.80360000000,30411.70190000000
103.94249907096747,1.352774325646343,3,2,http://www.sensecollege.edu.sg,NTUC INCOME TAMPINES POINT,07,TAMPINES CENTRAL 6,529483,Private Education Institutions,SENSE COLLEGE,01,F5EB6341B71DBCFF,2014/01/27,40150.55930000000,37208.70090000000
103.78817654623758,1.332799468627201,4,913,http://www.seraphcorp.net,,03,BUKIT TIMAH ROAD,589623,Private Education Institutions,SERAPHCORP INSTITUTE,07,C03D4078D1D0E0FD,2014/01/27,22976.16170000000,34999.75630000000
103.87402059352962,1.350858934537079,5,587,http://klcinstitute.edu.sg,CRESTAR BUILDING (TRAINING ROOM 1),,UPPER SERANGOON ROAD,534564,Private Education Institutions,KLC INSTITUTE,,091DAEBC3569DDB0,2014/01/27,32529.67710000000,36996.67140000000
103.85160785891061,1.302880939066166,6,1,http://www.lasalle.edu.sg/,LASALLE COLLEGE OF THE ARTS,,MCNALLY STREET,187940,Private Education Institutions,LASALLE COLLEGE OF THE ARTS,,5082F99B8A4D1146,2014/01/27,30035.43040000000,31691.48020000000
103.8435864404443,1.27311737813901,7,80,http://www.lithanhall.com,FUJI XEROX TOWERS,12,ANSON ROAD,079907,Private Education Institutions,LITHAN HALL ACADEMY,00,67FFB14A4E5872C0,2014/01/27,29142.73280000000,28400.37420000000
103.84847054556026,1.273720504774816,8,12,http://www.hypnosis-singapore.com/,BEST WAY BUILDING,01,PRINCE EDWARD ROAD,079212,Private Education Institutions,LONDON COLLEGE OF CLINICAL HYPNOSIS ASIA,03,044526258E543413,2014/01/27,29686.29510000000,28467.06760000000
103.84624540938916,1.275095194207701,9,3,http://www.lsbf.edu.sg,SPRINGLEAF TOWER,06,ANSON ROAD,079909,Private Education Institutions,LONDON SCHOOL OF BUSINESS & FINANCE,01,BC55B9706062A4A5,2014/01/27,29438.65410000000,28619.07230000000
103.82958804591851,1.306654846589062,10,390,,PALAIS RENAISSANCE,05,ORCHARD ROAD,238871,Private Education Institutions,LUFTHANSA TECHNICAL TRAINING GMBH,04,510D32D141181C39,2014/01/27,27584.82620000000,32108.77250000000
103.86767053504688,1.371388485543195,11,3000,http://www.lfs.edu.sg,,,ANG MO KIO AVENUE 3,569928,Private Education Institutions,LYCEE FRANCAIS DE SINGAPOUR,,BF1B969E3CCCC68A,2014/01/27,31822.95450000000,39266.71400000000
103.84951131624342,1.302122035916567,12,8,http://www.kaplan.com.sg,WILIKIE EDGE,02,WILKIE ROAD,228095,Private Education Institutions,KAPLAN LEARNING INSTITUTE,01,9EC1C15807604AB2,2014/01/27,29802.10480000000,31607.56310000000
