latitude,longitude,Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
1.31703,103.753036,MONTEREY PARK CONDOMINIUM,29 West Coast Rise  #05-15 ,1,127,Strata,1645000,12953,1203,5-Nov-13,Condominium,999 Yrs From 21/02/1885,2005,Resale,HDB,5,12,127472,West Region,Clementi
1.316348,103.753054,MONTEREY PARK CONDOMINIUM,25 West Coast Rise  #02-06 ,1,116,Strata,1419000,12233,1136,17-Jan-14,Condominium,999 Yrs From 21/02/1885,2005,Resale,HDB,5,12,127468,West Region,Clementi
1.316283,103.753502,MONTEREY PARK CONDOMINIUM,23 West Coast Rise  #05-02 ,1,151,Strata,1780000,11788,1095,9-Dec-13,Condominium,999 Yrs From 21/02/1885,2005,Resale,Private,5,12,127466,West Region,Clementi
1.318978,103.75365,BOTANNIA,31A West Coast Park  #08-28 ,1,117,Strata,1620000,13846,1286,27-Nov-13,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127725,West Region,Clementi
1.319016,103.753941,BOTANNIA,31B West Coast Park  #10-32 ,1,151,Strata,1950000,12914,1200,18-Nov-13,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127726,West Region,Clementi
1.31872,103.754642,BOTANNIA,33A West Coast Park  #04-42 ,1,118,Strata,1530000,12966,1205,3-Dec-13,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127727,West Region,Clementi
1.315138,103.758629,HUNDRED TREES,85 West Coast Drive  #06-11 ,1,85,Strata,1280000,15059,1399,20-Dec-13,Condominium,956 Yrs From 27/05/1928,2013,Sub Sale,HDB,5,12,128001,West Region,Clementi
1.315138,103.758629,HUNDRED TREES,85 West Coast Drive  #06-12 ,1,108,Strata,1620000,15000,1394,8-Nov-13,Condominium,956 Yrs From 27/05/1928,2013,Sub Sale,HDB,5,12,128001,West Region,Clementi
1.314929,103.758803,HUNDRED TREES,87 West Coast Drive  #10-14 ,1,121,Strata,1730000,14298,1328,21-Nov-13,Condominium,956 Yrs From 27/05/1928,2013,Sub Sale,Private,5,12,128015,West Region,Clementi
1.355727,103.759168,MERAWOODS,136A Hillview Avenue  #05-06 ,1,125,Strata,1390000,11120,1033,5-Dec-13,Condominium,999 Yrs From 12/10/1885,1999,Resale,Private,23,66,669606,West Region,Bukit Batok
1.31389,103.759203,HUNDRED TREES,91 West Coast Drive  #05-24 ,1,85,Strata,1200000,14118,1312,8-Nov-13,Condominium,956 Yrs From 27/05/1928,2013,Sub Sale,HDB,5,12,128017,West Region,Clementi
1.313833,103.75926,HUNDRED TREES,93 West Coast Drive  #10-26 ,1,108,Strata,1600000,14815,1376,18-Dec-13,Condominium,956 Yrs From 27/05/1928,2013,Sub Sale,Private,5,12,128018,West Region,Clementi
1.313754,103.759295,HUNDRED TREES,95 West Coast Drive  #07-34 ,1,73,Strata,1120000,15342,1425,20-Nov-13,Condominium,956 Yrs From 27/05/1928,2013,Sub Sale,HDB,5,12,128002,West Region,Clementi
1.356343,103.7594,MERAWOODS,136 Hillview Avenue  #07-06 ,1,125,Strata,1345000,10760,1000,25-Nov-13,Condominium,999 Yrs From 12/10/1885,1999,Resale,Private,23,66,669598,West Region,Bukit Batok
1.359287,103.765043,HILLINGTON GREEN,49 Hillview Avenue  #07-03 ,1,126,Strata,1510000,11984,1113,17-Jan-14,Condominium,999 Yrs From 19/05/1883,2002,Resale,Private,23,66,669615,West Region,Bukit Batok
1.358252,103.765154,HILLVIEW GREEN,65 Hume Avenue  #09-02 ,1,159,Strata,1690000,10629,987,13-Nov-13,Condominium,999 Yrs From 19/05/1883,1998,Resale,Private,21,59,598743,West Region,Bukit Batok
