longitude,latitude,OBJECTID,ADDRESSBLO,ADDRESSSTR,NAME,ADDRESSPOS,HYPERLINK,PHOTOURL,FMEL_UPD_D,X_ADDR,Y_ADDR,Rating
103.9096402,1.30487639,1,278,Marine Parade Road,Marine Parade Public Library,449282,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=MPCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/pic_MPCL.jpg,27/2/13,36493.9033,31912.2484,7
103.8951089,1.392159962,2,1,Sengkang Square,Sengkang Public Library,545078,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=SKCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/LibPic_0_SKCL.jpg,27/2/13,34876.4493,41563.5811,9
103.949801,1.372519397,3,1,Pasir Ris Central St 3,Pasir Ris Public Library,518457,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=PRCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/pic_PRCL.jpg,27/2/13,40963.0806,39392.0526,85
103.8449429,1.285260737,4,133,North Bridge Road,library@chinatown,59413,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=CNPL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/librarychinatown1.jpg,27/2/13,29293.6914,29743.1248,33
103.8357852,1.429698271,5,930,Yishun Ave 2,Yishun Public Library,769098,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=YICL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/LibPic_0_YICL.jpg,27/2/13,28274.4944,45714.2877,37
103.8488405,1.349850715,6,5,Bishan Place,Bishan Public Library,579841,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=BICL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/NLBbishanB024.gif,27/2/13,29727.4117,36885.1553,71
103.7450775,1.384994977,7,21,Choa Chu Kang Avenue 4,Chua Chu Kang Public Library,689812,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=CCKCL&amp;_pageLabel=corporate_p,http://www.nlb.gov.sg/library/images/LibPic_0_CCKCL.jpg,27/2/13,18179.899,40771.4061,22
103.7643171,1.379916507,8,1,Jelebu Road,Bukit Panjang Public Library,677743,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=BPCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/LibPic_0_BPCL.jpg,27/2/13,20320.9978,40209.7832,33
103.8937463,1.372651672,9,90,Hougang Avenue 10,Cheng San Public Library,538766,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&amp;_windowLabel=PlLibraryLocations_1_1&amp;PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&amp;PlLibraryLocations_1_1BranchCode=CSCL&amp;_pageLabel=corporate_pa,http://www.nlb.gov.sg/library/images/LibPic_0_CSCL.jpg,27/2/13,34724.8695,39406.4483,19
103.7644285,1.314875053,10,3155,Commonwealth Avenue West,Clementi Public Library,129588,http://www.nlb.gov.sg/Corporate.portal?_nfpb=true&_windowLabel=PlLibraryLocations_1_1&PlLibraryLocations_1_1_actionOverride=%2FIBMS%2FplLibraryLocations%2FlibraryDetailsDisplay&PlLibraryLocations_1_1BranchCode=CMPL&_pageLabel=corporate_page_visitus_AllLi,http://www.nlb.gov.sg/library/images/LibPic_0_CMPL.jpg,27/2/13,20333.1917,33017.8261,99
